*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Interface 1.1.0
*Date=11:33:35
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
151;;;3.8354;-28.9769;0;Bottom;Copper Fill32
152;;;19.7612;-95.5248;0;Bottom;Copper Fill12
153;;;28.9306;-38.794;0;Bottom;Copper Fill47
154;;THT;9.01151;-98.7647;180;Bottom;R1
155;;;33.7312;-77.8719;0;Bottom;Copper Fill72
156;;;28.9814;-101.481;0;Bottom;Copper Fill89
157;;THT;23.4244;-8.38962;180;Bottom;CV OUT HEADER
158;;;7.0866;-14.6132;0;Bottom;Copper Fill86
159;66k;THT;20.1538;-85.4267;90;Bottom;R32
160;;;24.13;-90.5211;0;Bottom;Copper Fill17
161;;;10.0838;-101.113;0;Bottom;Copper Fill8
162;;;11.6078;-83.7901;0;Bottom;Copper Fill19
163;;;33.9374;-30.2617;0;Bottom;Via3
164;;;17.526;-14.7148;0;Bottom;Copper Fill80
165;;THT;23.4244;-22.9946;180;Bottom;CV IN HEADER
166;;;15.4178;-36.3556;0;Bottom;Copper Fill109
167;;;5.0038;-56.9423;0;Bottom;Copper Fill30
168;;;18.0086;-51.3288;0;Bottom;Copper Fill41
169;;5 mm [THT];12.3194;-61.6163;180;Bottom;LED1
170;;;6.20888;-44.6552;0;Bottom;Hole12
171;;;34.0614;-94.1786;0;Bottom;Copper Fill15
172;;;16.8393;-20.5723;0;Bottom;Hole39
173;;;15.5956;-17.3056;0;Bottom;Copper Fill104
174;;;16.5989;-11.0191;0;Bottom;Copper Fill100
