*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC Version B 1.0.5_Filled
*Date=14:41:41
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
153;;;12.0872;-97.9919;0;Bottom;Via5
154;;;22.344;-98.3278;0;Bottom;Via10
155;;THT;14.1345;-45.9871;0;Bottom;Reg 5V
156;;;22.9108;-109.872;0;Bottom;Copper Fill7
157;;;31.2674;-3.395;0;Bottom;Copper Fill75
158;33k;THT;31.376;-68.7631;38.362;Bottom;R6
159;;;3.7846;-2.2266;0;Bottom;Copper Fill148
160;;;14.7178;-33.9928;0;Bottom;Via31
161;;;22.6568;-12.8692;0;Bottom;Copper Fill137
162;;to-92;29.6147;-44.3502;0;Bottom;Q4
163;;THT;14.1111;-42.2006;0;Bottom;NC
164;100;THT;18.6603;-5.95193;180;Bottom;R31
165;;;17.3101;-17.4666;0;Bottom;Copper Fill171
166;;;30.3022;-69.3588;0;Bottom;Copper Fill38
167;;;5.2578;-74.3118;0;Bottom;Copper Fill26
168;;;29.9974;-100.88;0;Bottom;Copper Fill14
169;;;33.9852;-86.453;0;Bottom;Copper Fill22
170;;;11.2522;-6.9256;0;Bottom;Copper Fill143
171;;THT;8.74889;-39.1243;0;Bottom;Eurorack Power Header
172;;;8.9154;-11.2309;0;Bottom;Copper Fill157
173;;;33.5788;-3.1029;0;Bottom;Copper Fill156
174;;;11.2522;-12.0056;0;Bottom;Copper Fill139
175;;;29.2608;-27.0424;0;Bottom;Copper Fill134
176;;;31.242;-45.7368;0;Bottom;Copper Fill123
177;;;11.2776;-71.7464;0;Bottom;Copper Fill41
178;;;32.7025;-2.2266;0;Bottom;Copper Fill155
179;;;15.3162;-109.872;0;Bottom;Copper Fill97
180;;;35.2044;-80.4713;0;Bottom;Copper Fill84
181;;;23.9014;-19.1684;0;Bottom;Copper Fill63
182;;;20.3962;-109.872;0;Bottom;Copper Fill99
183;;;4.58288;-39.209;0;Bottom;TXT4
184;;;17.3769;-17.9149;0;Bottom;Via20
