*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC Version B 1.0.4_Fill
*Date=07:41:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
149;;;21.717;-33.5194;0;Bottom;Copper Fill69
150;;;15.2908;-109.821;0;Bottom;Copper Fill3
151;;;25.3238;-79.4426;0;Bottom;Copper Fill116
152;;;2.5654;-1.7694;0;Bottom;Copper Fill91
153;;;10.7696;-93.1078;0;Bottom;Copper Fill105
154;;;11.4784;-104.195;0;Bottom;Via4
155;;THT;12.6294;-23.6444;180;Bottom;CV in
156;;;17.7546;-24.3754;0;Bottom;Copper Fill74
157;;;32.893;-74.0324;0;Bottom;Copper Fill34
158;;;18.0153;-18.2118;0;Bottom;Via16
159;;;5.842;-86.4276;0;Bottom;Copper Fill108
160;;;23.1648;-30.1666;0;Bottom;Copper Fill132
161;;to-92;30.287;-75.2711;180;Bottom;Q3
162;33k;THT;31.5876;-68.8337;38.362;Bottom;R6
163;;;19.2616;-68.0945;0;Bottom;Via22
164;;;25.4;-92.2696;0;Bottom;Copper Fill107
165;;THT;16.5704;-108.644;90;Bottom;J6
166;;;10.2362;-109.846;0;Bottom;Copper Fill1
167;;;14.3002;-28.8966;0;Bottom;Copper Fill145
168;;;18.6944;-96.5368;0;Bottom;Copper Fill17
169;;;12.3952;-102.023;0;Bottom;Copper Fill102
170;;;25.0698;-51.3756;0;Bottom;Copper Fill58
171;;;19.5438;-91.8577;0;Bottom;Via21
172;100;THT;6.41604;-23.1108;180;Bottom;R28
173;;;17.272;-54.4236;0;Bottom;Copper Fill57
174;;;4.8768;-102.506;0;Bottom;Copper Fill9
175;;;26.8732;-87.9516;0;Bottom;Copper Fill23
176;;;3.3782;-44.9748;0;Bottom;Copper Fill53
177;;;11.176;-14.444;0;Bottom;Copper Fill83
178;;;20.3962;-101.185;0;Bottom;Copper Fill6
179;;;20.3906;-45.9047;0;Bottom;Jumper1
180;;;11.0303;-90.3328;0;Bottom;Via3
181;;;16.256;-68.8762;0;Bottom;Copper Fill119
182;;;11.5316;-79.8744;0;Bottom;Copper Fill33
183;;;25.4;-94.708;0;Bottom;Copper Fill104
184;;to-92;29.6147;-44.3502;0;Bottom;Q4
185;;THT;16.6071;-98.4837;0;Bottom;J8
186;;;4.89194;-11.8381;0;Bottom;Via17
187;;;21.6916;-29.176;0;Bottom;Copper Fill73
188;;;19.177;-56.1254;0;Bottom;Copper Fill126
189;;;31.75;-7.1288;0;Bottom;Copper Fill88
190;;;22.9108;-48.5054;0;Bottom;Copper Fill129
191;;;11.5316;-106.9;0;Bottom;Copper Fill101
192;;;5.588;-73.88;0;Bottom;Copper Fill26
193;;;16.6116;-14.5456;0;Bottom;Copper Fill81
194;;;11.2776;-12.0056;0;Bottom;Copper Fill85
195;;;32.5882;-58.767;0;Bottom;Copper Fill124
196;;;25.4;-96.994;0;Bottom;Copper Fill103
197;;;4.1656;-13.9106;0;Bottom;Copper Fill84
198;;;1.80612;-91.3638;0;Bottom;Via11
199;;;31.5722;-57.624;0;Bottom;Copper Fill52
200;;;11.2776;-6.9256;0;Bottom;Copper Fill142
201;;;9.45435;-61.5797;0;Bottom;Via25
202;;;24.0792;-61.6372;0;Bottom;Copper Fill49
203;;;24.765;-27.2964;0;Bottom;Copper Fill75
204;;;31.0388;-25.7724;0;Bottom;Copper Fill62
205;100;THT;6.14567;-29.7997;180;Bottom;R25
206;;;27.4828;-2.7854;0;Bottom;Copper Fill90
207;;;11.2776;-9.4656;0;Bottom;Copper Fill141
208;;;17.8054;-64.0248;0;Bottom;Copper Fill46
209;;;12.7508;-109.821;0;Bottom;Copper Fill2
210;;;4.9784;-27.6012;0;Bottom;Copper Fill72
211;;;7.493;-77.309;0;Bottom;Copper Fill35
212;;;28.2702;-79.5188;0;Bottom;Copper Fill31
213;;;30.861;-49.6992;0;Bottom;Copper Fill61
214;;THT;14.1345;-46.6927;0;Bottom;5V Euro
