*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC 1.1.0
*Date=11:29:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
194;;;6.5278;-36.6309;0;Bottom;Copper Fill156
195;;;23.7998;-74.1086;0;Bottom;Copper Fill32
196;;;21.1639;-62.1236;0;Bottom;TXT2
197;;;23.8252;-4.538;0;Bottom;Copper Fill150
198;;;32.7025;-2.2266;0;Bottom;Copper Fill168
199;;;12.4206;-36.0086;0;Bottom;Copper Fill128
200;;;20.6727;-84.6703;0;Bottom;Via13
201;;;33.9217;-103.42;0;Bottom;Copper Fill166
202;;;11.2522;-6.9256;0;Bottom;Copper Fill73
203;;THT;29.1394;-53.4894;-90;Bottom;J2
204;;;4.9022;-54.4236;0;Bottom;Copper Fill52
205;;;29.9974;-100.88;0;Bottom;Copper Fill14
206;;;10.2362;-109.897;0;Bottom;Copper Fill97
207;;;34.7218;-102.569;0;Bottom;Copper Fill85
208;;;12.7762;-109.872;0;Bottom;Copper Fill3
209;;;19.177;-56.1;0;Bottom;Copper Fill123
210;;;22.5298;-23.6642;0;Bottom;Copper Fill64
211;;;14.3932;-69.0823;0;Bottom;Via33
212;;;18.9738;-102.887;0;Bottom;Copper Fill12
213;;;18.669;-101.134;0;Bottom;Copper Fill13
214;;;30.0482;-95.4954;0;Bottom;Copper Fill21
215;;;5.2578;-74.3118;0;Bottom;Copper Fill26
216;;;11.2776;-71.7464;0;Bottom;Copper Fill41
217;;;28.9052;-37.3802;0;Bottom;Copper Fill63
218;;;3.5306;-9.9228;0;Bottom;Copper Fill143
219;;;11.5062;-106.671;0;Bottom;Copper Fill104
220;;THT;4.74133;-42.8779;0;Bottom;+7-12V
221;;;24.6591;-28.4423;0;Bottom;Via40
222;;;21.3582;-19.7233;0;Bottom;Via39
223;;;25.4254;-71.9242;0;Bottom;Copper Fill115
224;;;24.1508;-22.7877;0;Bottom;Via7
225;;;14.7178;-33.9928;0;Bottom;Via31
226;;;20.4978;-45.4701;0;Bottom;Copper Fill84
227;;;15.3162;-109.872;0;Bottom;Copper Fill99
228;;;30.0736;-20.4892;0;Bottom;Copper Fill67
229;;;30.1117;-2.6838;0;Bottom;Copper Fill175
230;;;2.0828;-31.8684;0;Bottom;Copper Fill60
231;;;4.7752;-102.531;0;Bottom;Copper Fill1
232;;;12.3698;-102.023;0;Bottom;Copper Fill105
233;;;29.2608;-27.0424;0;Bottom;Copper Fill137
234;;;22.5298;-96.2574;0;Bottom;Copper Fill19
235;;;12.319;-3.8522;0;Bottom;Copper Fill149
236;;;11.2522;-9.4656;0;Bottom;Copper Fill144
237;;;3.5306;-7.3828;0;Bottom;Copper Fill145
238;;;4.58288;-39.209;0;Bottom;TXT4
239;;;19.5326;-28.4013;0;Bottom;Copper Fill159
240;;;17.8054;-64.0248;0;Bottom;Copper Fill48
241;;;3.5306;-4.8428;0;Bottom;Copper Fill147
242;;;12.7762;-109.872;0;Bottom;Copper Fill98
243;;;9.7409;-49.0134;0;Bottom;Copper Fill152
244;;;6.1214;-42.892;0;Bottom;Copper Fill127
245;100;THT;6.31472;-27.619;180;Bottom;R26
246;;;16.5767;-91.6637;-90;Bottom;Teensy 3.2
247;;;7.5184;-77.0804;0;Bottom;Copper Fill34
248;;THT;16.5704;-108.644;90;Bottom;J6
249;100k;THT;30.9736;-80.1137;-135;Bottom;R1
250;;;31.242;-45.7368;0;Bottom;Copper Fill126
251;;;15.0114;-78.8076;0;Bottom;Copper Fill110
252;;;28.1178;-15.1044;0;Bottom;Copper Fill69
253;;;14.5815;-27.5251;0;Bottom;Via37
254;;;1.80612;-88.2593;0;Bottom;Via12
255;;;33.9852;-86.453;0;Bottom;Copper Fill22
256;;;32.893;-65.8028;0;Bottom;Copper Fill47
257;;;3.683;-28.9474;0;Bottom;Copper Fill135
258;0.33µF;100 mil [THT, multilayer];8.52311;-48.1272;0;Bottom;C1
259;;THT;11.5243;-78.2104;0;Bottom;J9
260;;;30.3022;-69.3588;0;Bottom;Copper Fill38
261;;;4.2926;-22.6482;0;Bottom;Copper Fill66
262;;;29.2354;-37.1516;0;Bottom;Copper Fill129
263;100;THT;18.7206;-8.15919;180;Bottom;R30
264;;;12.1412;-50.0548;0;Bottom;Copper Fill55
265;;;2.667;-31.3858;0;Bottom;Copper Fill133
